source_frame,timestamp_ms,human_roi_present,human_roi_x1,human_roi_y1,human_roi_x2,human_roi_y2,raw_yolo_person_count,raw_yolo_pose_candidate_count,crop_yolo_pose_candidate_count,candidate_count_intersecting_human_roi,selected_candidate_id,candidate_selected_yes_no,final_frame_qc,final_target_segment_id,pose_rendered_yes_no,failure_stage,failure_reason
106,3533.333333333333,True,401.1736561464188,2.645813955668488,692.2219339962531,717.9124680728273,3,3,3,3,1,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
107,3566.666666666667,True,399.4396887159533,2.421592434001667,692.295719844358,718.0021566814941,5,5,4,4,3,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
108,3600.0,True,387.1543450064851,3.0942569990021296,676.6900129701687,717.5985579424938,5,5,3,4,3,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
109,3633.3333333333335,True,374.86900129701684,3.766921564002592,661.0843060959792,717.1949592034935,5,5,4,4,3,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
110,3666.6666666666665,True,362.58365758754866,4.439586129003056,645.4785992217899,716.7913604644932,6,6,3,4,2,True,TARGET_IDENTITY_UNCERTAIN,,False,MULTIPLE_AMBIGUOUS_CANDIDATES,TARGET_OVERLAP_AMBIGUOUS: multiple pose candidates plus a target-continuity jump.
111,3700.0,True,350.2983138780804,5.112250694003517,629.8728923476006,716.387761725493,6,6,3,4,5,True,TARGET_IDENTITY_UNCERTAIN,,False,MULTIPLE_AMBIGUOUS_CANDIDATES,TARGET_OVERLAP_AMBIGUOUS: multiple pose candidates plus a target-continuity jump.
112,3733.3333333333335,True,338.0129701686122,5.784915259003981,614.2671854734111,715.9841629864927,6,6,3,4,5,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
113,3766.6666666666665,True,325.72762645914395,6.457579824004444,598.6614785992217,715.5805642474925,5,5,3,3,2,True,TARGET_IDENTITY_UNCERTAIN,,False,MULTIPLE_AMBIGUOUS_CANDIDATES,TARGET_OVERLAP_AMBIGUOUS: multiple pose candidates plus a target-continuity jump.
114,3800.0,True,313.44228274967577,7.130244389004906,583.0557717250324,715.1769655084922,5,5,3,3,2,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
115,3833.3333333333335,True,301.15693904020753,7.802908954005369,567.4500648508431,714.7733667694919,5,5,3,3,2,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
116,3866.6666666666665,True,288.8715953307393,8.475573519005833,551.8443579766537,714.3697680304916,4,4,3,3,0,True,LOW_POSE_CONFIDENCE,,False,POSE_QC_REJECTED,Frame/core landmark confidence below threshold.
117,3900.0,True,280.23865110246436,8.879172258006111,552.0103761348897,714.3697680304916,4,4,3,3,0,True,LOW_POSE_CONFIDENCE,,False,POSE_QC_REJECTED,Frame/core landmark confidence below threshold.
118,3933.333333333333,True,271.60570687418937,9.282770997006388,552.1763942931258,714.3697680304916,4,4,3,3,0,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
119,3966.666666666667,True,262.9727626459144,9.686369736006666,552.3424124513618,714.3697680304916,4,4,3,4,3,True,TARGET_IDENTITY_UNCERTAIN,,False,MULTIPLE_AMBIGUOUS_CANDIDATES,TARGET_OVERLAP_AMBIGUOUS: multiple pose candidates plus a target-continuity jump.
120,4000.0,True,254.33981841763944,10.089968475006945,552.5084306095979,714.3697680304916,4,4,3,4,3,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
121,4033.333333333333,True,245.70687418936447,10.493567214007221,552.674448767834,714.3697680304916,4,4,3,4,0,True,TARGET_IDENTITY_UNCERTAIN,,False,MULTIPLE_AMBIGUOUS_CANDIDATES,TARGET_OVERLAP_AMBIGUOUS: multiple pose candidates plus a target-continuity jump.
122,4066.6666666666665,True,237.0739299610895,10.8971659530075,552.84046692607,714.3697680304916,5,5,4,5,3,True,TARGET_IDENTITY_UNCERTAIN,,False,MULTIPLE_AMBIGUOUS_CANDIDATES,TARGET_OVERLAP_AMBIGUOUS: multiple pose candidates plus a target-continuity jump.
123,4100.0,True,256.09961089494163,10.8971659530075,564.9929961089495,714.6119272738918,5,5,4,5,3,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
124,4133.333333333334,True,275.12529182879376,10.8971659530075,577.1455252918288,714.854086517292,5,5,4,5,3,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
125,4166.666666666667,True,294.15097276264595,10.8971659530075,589.2980544747081,715.0962457606921,4,4,1,4,2,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
126,4200.0,True,313.1766536964981,10.8971659530075,601.4505836575875,715.3384050040924,4,4,2,4,2,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
127,4233.333333333333,True,332.2023346303502,10.8971659530075,613.6031128404669,715.5805642474925,4,4,3,4,2,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
128,4266.666666666667,True,351.22801556420234,10.8971659530075,625.7556420233464,715.8227234908926,5,5,3,4,2,True,TARGET_IDENTITY_UNCERTAIN,,False,MULTIPLE_AMBIGUOUS_CANDIDATES,TARGET_OVERLAP_AMBIGUOUS: multiple pose candidates plus a target-continuity jump.
129,4300.0,True,370.2536964980545,10.8971659530075,637.9081712062257,716.0648827342928,5,5,2,4,2,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
130,4333.333333333333,True,389.2793774319066,10.8971659530075,650.060700389105,716.307041977693,5,5,3,4,2,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
131,4366.666666666666,True,408.3050583657588,10.8971659530075,662.2132295719845,716.5492012210932,3,3,1,3,1,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
132,4400.0,True,427.3307392996109,10.8971659530075,674.3657587548638,716.7913604644933,3,3,1,3,1,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
133,4433.333333333334,True,471.15953307393,11.502564061507915,701.2607003891051,711.9481755964899,3,3,1,3,1,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
134,4466.666666666667,True,514.988326848249,12.107962170008332,728.1556420233463,707.1049907284867,4,4,3,4,3,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
135,4500.0,True,538.230869001297,8.879172258006111,749.0739299610896,710.3337806404888,4,4,3,4,2,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
136,4533.333333333333,True,561.473411154345,5.650382346003889,769.9922178988327,713.562570552491,4,4,1,4,2,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
137,4566.666666666666,True,584.715953307393,2.421592434001667,790.9105058365759,716.7913604644933,6,6,2,5,3,True,TARGET_IDENTITY_UNCERTAIN,,False,MULTIPLE_AMBIGUOUS_CANDIDATES,TARGET_OVERLAP_AMBIGUOUS: multiple pose candidates plus a target-continuity jump.
138,4600.0,True,677.3540856031128,160.58823529411765,803.8599221789883,577.0588235294117,5,5,3,5,4,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
139,4633.333333333334,True,672.3735408560311,84.53190440656174,845.6964980544747,646.319693888452,5,5,1,5,2,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
140,4666.666666666667,True,667.3929961089494,8.47557351900582,887.5330739299611,715.5805642474925,4,4,1,3,3,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
141,4700.0,True,674.6977950713359,9.282770997006388,913.4319066147859,713.9661692914914,4,4,1,4,3,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
142,4733.333333333333,True,682.0025940337225,10.089968475006945,939.330739299611,712.3517743354902,4,4,2,4,3,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
143,4766.666666666667,True,689.307392996109,10.8971659530075,965.2295719844358,710.7373793794891,3,3,1,2,0,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
144,4800.0,True,703.7509727626459,11.098965322507638,976.3527885862516,711.5445768574896,3,3,2,2,1,True,TARGET_IDENTITY_UNCERTAIN,,False,MULTIPLE_AMBIGUOUS_CANDIDATES,TARGET_OVERLAP_AMBIGUOUS: multiple pose candidates plus a target-continuity jump.
145,4833.333333333333,True,718.1945525291829,11.300764692007776,987.4760051880675,712.3517743354902,3,3,3,2,1,True,TARGET_IDENTITY_UNCERTAIN,,False,MULTIPLE_AMBIGUOUS_CANDIDATES,TARGET_OVERLAP_AMBIGUOUS: multiple pose candidates plus a target-continuity jump.
146,4866.666666666666,True,732.6381322957199,11.502564061507915,998.5992217898832,713.1589718134908,3,3,2,2,0,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
147,4900.0,True,747.0817120622568,11.704363431008055,1009.722438391699,713.9661692914913,3,3,2,2,1,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
148,4933.333333333334,True,761.5252918287938,11.906162800508193,1020.8456549935149,714.7733667694919,3,3,1,2,0,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
149,4966.666666666667,True,775.9688715953307,12.107962170008332,1031.9688715953307,715.5805642474925,2,2,3,2,1,True,TARGET_IDENTITY_UNCERTAIN,,False,MULTIPLE_AMBIGUOUS_CANDIDATES,TARGET_OVERLAP_AMBIGUOUS: multiple pose candidates plus a target-continuity jump.
150,5000.0,True,815.4811932555123,10.897165953007498,1054.5473411154344,717.1949592034936,2,2,2,2,1,True,INVALID_TRACK_SEGMENT,,False,TRACK_STATE_REJECTED,Valid-looking pose segment is too short to establish target identity continuity.
151,5033.333333333333,True,854.9935149156939,9.686369736006666,1077.1258106355383,718.8093541594947,2,2,3,2,1,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
152,5066.666666666666,True,894.5058365758755,8.475573519005833,1099.704280155642,720.4237491154958,2,2,1,2,1,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
153,5100.0,True,929.3696498054475,6.053981085004167,1151.1699092088197,714.3697680304915,2,2,1,1,1,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
154,5133.333333333334,True,964.2334630350194,3.6323886510025005,1202.6355382619975,708.3157869454875,2,2,1,1,1,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
155,5166.666666666667,True,999.0972762645914,1.2107962170008333,1254.1011673151752,702.2618058604833,3,3,1,2,0,True,TARGET_IDENTITY_UNCERTAIN,,False,TEMPORAL_CONTINUITY_REJECTED,Temporal/body-scale discontinuity suggests target identity uncertainty.
